site_number,site,buff_dist,harvest,harvest_2000,harvest_pre2000,pipeline,roads,seismic_lines,veg_edges,wells,lc_agriculture,lc_broadleaf,lc_coniferous,lc_developed,lc_grassland,lc_mixed,lc_shrub
6,LUS_6,500,0.42412655800000004,0.283990074574725,0.14013648350973704,0.008548760999999998,0.006441733,0.004246343999999999,0.010940206000000001,0.026704844,0,0,0.35837594100000003,0.06030532,0,0,0.5813187069999999
10,LUS_10,500,0.373668254,0.208819061984788,0.1648491916482444,0,0.020878932000000003,0.0010722569999999999,0.040448726,0.027994379000000003,0,0.14735162,0.439731443,0.11947474500000001,0,0,0.29344219600000004
12,LUBF_12,500,0,0,0,0.053940774,0.019744967,0.0049391339999999995,0.037558495,0.018955772000000006,0,0.46868775,0.14870760700000002,0.20483824400000003,0.07604078400000001,0.10172561600000002,0
13,LUC_13,500,0.8508530580000001,0.276491627086493,0.5743614306407359,0.0037701490000000004,0.018286833,0,0.032472413,0.029996045,0,0.035626719,0.347098493,0.14314284500000002,0,0,0.474131941
17,LUC_17,500,0.516096688,0.223059145378976,0.29303754271512583,0.034562364000000005,0.0038428409999999996,0.0012891740000000001,0.005986671,0.043790794,0,0.024167935000000005,0.518772674,0.027773995000000003,0.17992037600000002,0,0.24936501700000002
18,LUC_18,500,0.4078615930000001,0.1752164856331618,0.23264510707479552,0,0.0022921029999999998,0.005606511999999999,0.0035161949999999997,0.011972372,0,0.013794139,0.4674740680000001,0,0,0,0.518731793
21,LUC_21,500,0.6985690789999999,0.29987562936246515,0.3986934499876288,0,0.001588049,3.12115e-4,0.0018648260000000002,0.010924472,0,0.2845289940000001,0.32962651900000006,0.013923297999999999,0,0,0.371921174
23,LUC_23,500,0.478213818,0.4782138177866241,0,0.041492392,0.019099808000000003,0.001191345,0.030961153,0.016189854,0,0,0.46283897000000007,0.169373831,0.18569422,0.027896677999999998,0.15419633600000004
24,LUC_24,500,0.063482657,0.0172384081276793,0.0462442491163482,0,0.015505757,0.002959833,0.029265031,0.046552088000000005,0,0.329905159,0.45190939500000005,0.009556402,0.10776534700000003,0.07550655400000002,0.025357122000000003
26,LUC_26,500,0.25766056300000006,0.0026947811138306396,0.2549657822069946,0.053804504,0.029569329,0,0.04835661800000001,0.06561976,0,0.36997610100000006,0.277351654,0.19818913500000002,0.096105856,0.058377262000000006,0
30,LUBF_30,500,0,0,0,0.015342243,0.014046355000000002,0.011307490999999998,0.025272861999999997,0.012077302000000002,0,0.458611992,0.41694007200000005,0.124447934,0,0,0
31,LUC_31,500,0.11889938799999998,0.11889938768026448,0,0.022485038000000002,0.005008734,0.00560468,0.003508731,0.023945917000000004,0,0.009926079999999999,0.11690477900000001,0,0.27921495100000004,0.30137894100000007,0.1989706
35,LUBF_35,500,0,0,0,0.037799937,0.009402120999999998,0.001895236,0.020318877000000003,0.036203532,0,0.8955148549999999,0,0.08392426800000001,0.018053464000000005,0.0025074159999999997,0
37,LUC_37,500,0.475495794,0.015497769289026297,0.45999802471859697,0.003460882,0.008135662,2.3899999999999998e-5,0.022646233999999998,0.0045359649999999994,0,0.0032072680000000005,0.463225443,0.168520314,0.26824921999999995,0,0.09679777700000002
38,LUC_38,500,0.030797605,0.030797605135875497,0,0.10735414000000001,0.017761914000000007,0.014887026000000001,0.030700508999999997,0.015432386999999999,0,0.038275962,0.311839049,0.165522028,0.3437418159999999,0.14062112699999998,0
39,LUS_39,500,0.5873808599999999,0.13270938325153003,0.45467147633797067,0,9.15e-6,0,2.46944e-4,0.012966492,0,0.07050555800000001,0.20314595600000002,0,0,0.16174348600000005,0.38247488400000007
42,LUC_42,500,0.779803197,0.358215234081279,0.4215879625574084,0.0030485540000000006,0.021987604,0.004617383,0.028583738,0.016771433000000002,0,0.021918274000000005,0.490567784,0.15699959800000005,0.330514343,0,0
44,LUBF_44,500,0.170579746,0.17011925656099153,4.6048947618305893e-4,0,0,0,0.002147752,0.018689088,0,0.614371831,0,0.024648508,0,0.063738233,0.03948063599999999
45,LUC_45,500,0.27616768500000005,0.27616768472435005,0,0.012849580000000001,0.00896485,0.0010032809999999997,0.017374453000000005,0.014907862000000001,0,0.539597871,0.012736082000000001,0.07988419299999999,0,0.061469293999999994,0.306312548
46,LUBF_46,500,0,0,0,0.029103727999999995,0.004795346,0.0072862529999999995,0.006123994000000001,0.016576199,0,0.697988623,0.06922175500000001,0.039717033,0.19307259599999999,0,0
51,LUC_51,500,0.163165845,0.08087361640276917,0.08229222884828644,0,0,0.01646624,0,0,0,0.20346691200000003,0.5721343120000001,0.004863510000000001,0,0.098542863,0.12099237900000001
55,LUBF_55,500,0.4696721850000001,0.36001838788979607,0.1096537968546,0.0528854,0.00351271,0.0020429239999999998,0.00640895,0.016780382000000003,0,0.24304602100000003,0.14497727600000002,0.03184802800000001,0.4859799150000001,0.09414876,0
56,LUS_56,500,0.732393996,0.38475857320765533,0.3476354225396681,0,0,0.0014012909999999996,0,0.015436696,0,0.37820817100000004,0.14164934700000004,6.937159999999999e-4,0,0.054201265000000005,0.425247503
58,LUBF_58,500,2.58834e-4,2.5883444996013805e-4,0,0.026986003,0.024608656000000003,0.003485227,0.045322205,0.016278144,0,0.48093830400000004,0.113431211,0.20635509000000002,0.15924513300000007,0.040030277,0
60,LUC_60,500,0,0,0,0.058765941999999995,0.032225845,0.0010158460000000002,0.08962084700000003,0.015104467999999998,0,0.08144449699999999,0.444894153,0.290660258,0.183001053,0,0
62,LUBF_62,500,0.034865020000000004,0,0.034865019605396105,0.0034708660000000004,0,0.008150330999999999,0.009325352999999998,0.037141023,0,0.24107573100000002,0.26087473000000005,0.143138072,0,0.25722441100000004,0.061912156
63,LUBF_63,500,0,0,0,0.020518575000000004,0.003877048,0.002427839,0.004968112,0.016913918000000003,0,0.559425943,0.387351944,0.022461215000000003,0,0,0.030760910000000002
67,LUBF_67,500,0.531138615,0.199858065728349,0.331280549763601,0.018361782000000004,0.023790438999999997,0,0.039283098,0.016398012000000003,0,0.4585284660000001,0.13699173300000003,0.18123157399999998,0.049194451,0,0.17405378900000001
70,LUS_70,500,0.1986101,0.19861009989453102,0,0,0,0.027416147999999998,0,0,0,0,0.530711575,0,0,0,0.46928842500000006
74,LUG_74,500,0.463225752,0.4632257521799469,0,0,0,0.003083652,9.94e-6,0,0,0,0.22660644500000002,0,0.39950986200000005,0,0.3738836930000001
75,LUBF_75,500,0,0,0,0,0,0.006157948,0,0,0,0.4286806740000001,0,0,0,0.571319326,0
77,LUC_77,500,0.533222006,0.039683969480080204,0.493538036860685,0.013619354,0.010962379999999999,0,0.020434021,0.020736380000000006,0,0.15228537700000003,0.35480958500000004,0.084116007,0.04990951800000001,0.048438983,0.310440534
81,LUBF_81,500,0.358490476,0.07490274046568773,0.283587736028328,0,0,0.008581110999999999,0,0,0,0.42550538100000007,0.330932725,0,0,0,0.24356189300000003
83,LUBF_83,500,0.12318095200000001,0.1231809518361108,0,0,0,0,0,0,0,0.7164364379999999,0,0,0,0.28356356200000005,0
88,LUBF_88,500,0,0,0,0,0,0.030027770999999998,0.004847974,0,0,0.5372863349999999,0.04848640199999999,0.019990970000000004,0,0.34465105499999993,0.049585243999999994
94,LUS_94,500,0.35210109799999995,0.3521010982681425,0,0,0,0,0.010379046000000001,0,0,0.6971503449999998,0,0.13294897400000003,0.12655808500000001,0,0.04334260700000001
95,LUS_95,500,0.516081025,0.5160810249979391,0,0,0,0.002234736,0,0,0,0.5782204280000001,0,0,0,0,0.42177957200000005
99,LUBF_99,500,0,0,0,0.024681207,0.007020481000000001,0.008448806,0.0037657000000000003,0.013388551,0,0.453296602,0.07791284300000001,0.016598092000000002,0.28405249600000004,0,0.168139998
100,LUUK_100,500,0.48177440500000007,0,0.48177440503663704,0,0,0.006705028,0,0,0,1,0,0,0,0,0
104,LUBF_104,500,0.6005354809999999,0.017443678146626,0.583091803076667,0,0,0.004368568,0,0,0,0.976075044,0,0,0,0,0.023924956000000004
105,LUBF_105,500,0.363146986,0.27220708678959205,0.09093989918152108,0,0,0.007675096,0,0,0,0.45389918900000004,0.082547422,0,0,0.092253687,0.37129970199999995
107,LUS_107,500,0.607296042,0.60729604245079,0,0,0.010042182,0.004777902,0,0,0,0.5044693899999999,0,0,0.033342778000000003,0,0.462187832
110,LUC_110,500,0.39197944,0.391979440005386,0,0,0,0.01522694,0,0,0,0.495713099,0.037181259,0,0,0.467105642,0
117,LUC_117,500,0.032529212,0,0,0.002428635,0.007859213000000002,0.002577822,0,0,0.164601145,0.36846650200000003,0.237655612,0.049202474999999996,0,0.18007426799999998,0
118,LUS_118,500,0,0,0,0,0,0.003588936,0,0,0,0.9577728150000001,0,0,0.042227185,0,0
119,LUAG_119,500,0,0,0,0,0.013828520999999998,0.0034924989999999996,0.013829860000000001,0,0.287434352,0.501909124,0.10315355300000001,0.071903888,0,0.013187184,0.022411903
120,LUS_120,500,0.4608429710000001,0,0,0,0,0.004391486000000001,0,0,0.24801452000000002,0.49291264900000004,0.024817031,0,0.10375278400000001,0,0.130503016
121,LUBF_121,500,0,0,0,0,0.009214367,0.006632738,0.009692009,0.010628315999999999,0,0.8319540260000001,0,0.096584611,0.071461403,0,0
124,LUAG_124,500,0.426847024,0,0,0,0,4.1074400000000005e-4,0,0.0064377689999999994,0.17272803700000003,0.7445691469999999,0,0,0,0,0
125,LUW_125,500,0,0,0,0,0.008512497999999999,0,0.008763513999999998,0,0.352078708,0.33819993099999995,0,0.05223112600000001,0,0,0
130,LUBF_130,500,0,0,0,0,0,0,0,0,0,0.227562867,0,0,0.037687367000000006,0,0.120809254
131,LUS_131,500,0,0,0,0,0,0,0,0,0,0.43112405400000003,0,0,0.15694058300000005,0,0
132,LUBF_132,500,0,0,0,0,0.012298172,0,0.021555551000000006,0,0.19631178000000002,0.42811120700000005,0,0.10329260200000003,0.010413781999999998,0,0
136,LUS_136,500,0,0,0,0,0,0,0,0,5.09722e-4,0,0,0,0.24476719600000005,0,0.244338879
137,LUAG_137,500,0,0,0,0,0,0,0,0,0.22774628000000005,0.44081021000000004,0,0,0,0,0
140,LUBF_140,500,0,0,0,0,0.0042925969999999996,0.003597863,0.0057174,0,0,0.496771991,0,0,0.046239739,0,0.032163994
141,LUC_141,500,0.41203081,0.362325902467872,0.0497049072311225,0.002380791,0,0.00329859,0,0,0,0.24741744300000007,0.19999879000000004,0,0.044362187000000004,0.128196195,0.38002538500000005
1,LUD_1,750,0.5320367089999999,0.2378865409079218,0.2941501681995743,2.9978400000000004e-4,0.001779886,0.0013906919999999998,0.010632528,0.016158885999999997,0,0,0.4340084700000001,0.04948236,0,0,0.5165091749999999
2,LUC_2,750,0.300353996,0.12262849967648727,0.1777254961129556,0.07727272900000003,0.026249237,0.002944516,0.042981034999999994,0.028046581,0,0.090129941,0.40294930100000004,0.231315714,0.19964833800000004,9.180000000000001e-5,0.07586492800000001
4,LUC_4,750,0.048794739,0.048794739372656805,0,0.028233031999999998,0.016746106,0.00628091,0.034759336,0.036860092,0,0.08776705200000001,0.5374550160000001,0.14779168800000003,0.026240718,0,0.20074555500000002
6,LUS_6,750,0.38951399800000003,0.2786499854343663,0.1108640124723921,0.012614007,0.011690269,0.006062966,0.019485836000000003,0.021231993999999997,0,0.017150485000000004,0.4078854700000001,0.11324220800000001,0,0,0.461721844
10,LUS_10,750,0.4328223460000001,0.128126743462527,0.3046956028389407,0.0019826279999999997,0.016019391,0.0013275320000000002,0.029900754,0.020762366,0,0.256921258,0.462090172,0.082184507,0,0,0.198804064
12,LUBF_12,750,0.03670687599999999,0,0.03670687637596832,0.042354537000000005,0.018205796000000003,0.003849414,0.034973381000000005,0.019600757,0,0.4079759130000001,0.15740376000000003,0.17224716300000004,0.09570278200000001,0.14693030300000004,0.012569976
13,LUC_13,750,0.810781785,0.30769461068815995,0.5030871743291819,0.002642028,0.017484761999999997,2.7613599999999996e-4,0.034295730999999996,0.013805748,0,0.171360771,0.36984970100000003,0.125700935,3.0233999999999995e-4,0,0.332786274
17,LUC_17,750,0.653003262,0.29009878550330204,0.36290447601734055,0.019517298,0.009956891999999998,9.039799999999999e-4,0.017175336000000006,0.028273561000000003,0,0.026696281999999998,0.495233895,0.07756652000000003,0.10440148,0,0.29610182700000004
18,LUC_18,750,0.492675092,0.22142919853264853,0.27124589372732416,7.83152e-4,0.005012531,0.003947843999999999,0.005873022,0.028059006999999997,0,0.04387342200000001,0.359363594,0,0.027188303,0.013503613000000001,0.5560710670000001
21,LUC_21,750,0.6703629549999998,0.2903186844947341,0.3800442706640487,0,0.0028197060000000004,2.84499e-4,0.0021955049999999995,0.004855321,0,0.209075706,0.34422688,0.024046447,0,0,0.4226509630000001
23,LUC_23,750,0.5259214640000001,0.525921463853781,0,0.032263411,0.019347626,0.0015996209999999999,0.033372213000000005,0.025952153,0,0.008470628,0.527033142,0.16406937900000002,0.15479035600000005,0.012398524,0.133237974
24,LUC_24,750,0.112267167,0.0486934709609339,0.06357369645878251,0.001281754,0.013000889,0.0031685730000000005,0.023298618,0.030163020999999998,0,0.37705236600000003,0.404165414,0.03139417,0.052359076000000004,0.079829773,0.05519919800000001
26,LUC_26,750,0.294229116,0.015352300028500899,0.2788768161037066,0.03608847099999999,0.020405652000000003,0,0.033434761,0.040476443,0,0.340469716,0.34691205199999997,0.15208574200000002,0.06514743399999999,0.084589687,0.010795369999999999
30,LUBF_30,750,0.038386518,0.038386518357767095,0,0.009954402999999999,0.010798267999999998,0.007417366999999999,0.019173432,0.023378035,0,0.5527927770000001,0.333748185,0.08681035499999999,0,0.026648681,0
31,LUC_31,750,0.18640688000000002,0.1864068799642702,0,0.013889697000000001,0.004978427,0.0044207510000000005,0.003034906,0.01064263,0,0.041453734,0.195765607,0,0.15639154500000002,0.184854353,0.222894018
35,LUBF_35,750,0,0,0,0.042612444000000006,0.008866896,0.001990945,0.017131166,0.026290566999999997,0,0.8352679949999999,0,0.08227629200000001,0.017504056000000004,0.064951644,0
37,LUC_37,750,0.506226513,0.1532474616533921,0.3529790508676004,0.0064699760000000005,0.014363062,1.28849e-4,0.031307283,0.022663676,0,0.041189275,0.5489554750000001,0.176509713,0.12098475200000001,0,0.112360784
38,LUC_38,750,0.08774298500000001,0.0649702065725752,0.022772778590441096,0.08279684100000002,0.014955502,0.012582473,0.026524270000000003,0.019155008,0,0.13164655,0.36737799700000007,0.150322967,0.253769447,0.096883026,0
39,LUS_39,750,0.4563247270000001,0.12157009900447599,0.33475462821005963,0,0.0016162529999999996,0.001090195,0.003974024999999999,0.013973335000000002,0,0.031336007000000006,0.24756759600000003,0,0,0.132389758,0.38993416100000006
42,LUC_42,750,0.8010591060000001,0.26841006668825507,0.5326490388590968,0.0018479710000000001,0.012644632,0.0030956599999999996,0.018234438000000002,0.02286688,0,0.054554395000000006,0.402661725,0.09850117100000001,0.4149252620000001,0,0.029357448
44,LUBF_44,750,0.25572431300000004,0.20613232643535814,0.04959198668074749,0,0,0.001989544,0.001812799,0.008306261,0,0.5151315849999999,0.066488022,0.022304340000000002,2.8311700000000005e-4,0.105158125,0.0649064
45,LUC_45,750,0.18291810300000003,0.18291810259533606,0,0.016888831,0.007915628,0.007238158999999999,0.015374517,0.017300735000000005,0,0.4535188610000001,0.20614132300000002,0.065404185,0.026774758000000003,0.045074057,0.203086814
46,LUBF_46,750,0.023434564,0.023434564113568705,0,0.038850683000000004,0.0055644349999999995,0.004612306,0.008371006,0.014825307,0,0.6675877409999997,0.04779384800000001,0.044581322,0.24003710200000003,0,0
51,LUC_51,750,0.233603554,0.09065772049934881,0.14294583385144422,0,0.001304875,0.013510858,0.008299051,0,0,0.22651043300000004,0.5027614340000001,0.038889395,0,0.11384793199999999,0.11799079300000001
55,LUBF_55,750,0.4300929650000001,0.25857931526217387,0.17151364954210205,0.0453577,0.004556314,0.0012351040000000003,0.017711202,0.015620137,0,0.27283850300000007,0.15590839100000006,0.06991281399999998,0.342279795,0.14173743600000005,0.017323057000000003
56,LUS_56,750,0.5662493200000001,0.35348332887259587,0.21276599108743105,0.003033004,0.004526746000000001,0.0019554589999999997,0.007571468,0.028374185,0,0.25639312799999997,0.20541431700000004,0.033060034999999995,0,0.094150285,0.33227771599999995
58,LUBF_58,750,0.035708119,0.03570811912210871,0,0.036898124000000004,0.016816883999999997,0.003942271,0.031974528,0.020801598999999997,0,0.4881366790000001,0.10389198300000001,0.15206394900000003,0.172343075,0.083564313,0
60,LUC_60,750,0,0,0,0.054368436,0.026075502,0.0015489610000000002,0.071641811,0.019420530000000002,0,0.22072994,0.34350745899999996,0.22422548000000003,0.21153711700000002,0,0
62,LUBF_62,750,0.10776455600000003,0.0614485511472098,0.04631600496983412,0.003686493,0,0.0057698820000000005,0.0059158599999999985,0.016508683,0,0.23714149800000003,0.29077684500000006,0.084677235,0,0.220613763,0.06964887299999999
63,LUBF_63,750,0.004079171,0.004079170661975511,0,0.045218219000000004,0.013729699999999997,0.0017359650000000003,0.020529416,0.024191513999999997,0,0.6193657579999999,0.185037748,0.09780222400000001,0.047277484999999994,0,0.050516781000000004
67,LUBF_67,750,0.418339218,0.25833263061905404,0.16000658769092502,0.035446985999999986,0.018935957,0.00102891,0.027622434,0.019177787,0,0.34495138,0.29875519700000003,0.13636129100000002,0.14188935100000002,0,0.07804278600000002
70,LUS_70,750,0.21179458200000004,0.21179458237593404,0,0,0,0.02426206,0.003975113999999999,0,0,0,0.36443943799999995,0.038975003999999994,0,0,0.5965855529999999
74,LUG_74,750,0.4170427990000001,0.4170427993413003,0,0,0,0.006466912,0.00402081,0,0,0,0.19900520400000002,0,0.337869481,0,0.46312531500000004
75,LUBF_75,750,0,0,0,0,0,0.010070813000000001,0,0,0,0.526419958,0,0,0,0.47358004200000003,0
